question_id,group_question_id,question_text,correct_answer,ans_1,ans_2,ans_3,ans_4
test11_1,test11_part1_1,Look at the picture marked number 1 in your test book,1,(A) A,(B) B,(C) C,(D) D
test11_2,test11_part1_2,Look at the picture marked number 2 in your test book,4,(A) A,(B) B,(C) C,(D) D
test11_3,test11_part1_3,Look at the picture marked number 3 in your test book,2,(A) A,(B) B,(C) C,(D) D
test11_4,test11_part2_1,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test11_5,test11_part2_2,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test11_6,test11_part2_3,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test11_7,test11_part2_4,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test11_8,test11_part2_5,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test11_9,test11_part2_6,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test11_10,test11_part2_7,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test11_11,test11_part2_8,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test11_12,test11_part2_9,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test11_13,test11_part2_10,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test11_14,test11_part2_11,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test11_15,test11_part2_12,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test11_16,test11_part2_13,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test11_17,test11_part3_1,How do the speakers know each other?,1,(A) They graduated from the same university.,(B) They are business colleagues.,(C) They are currently on the same chess team.,(D) They are professors at a college.
test11_18,test11_part3_1,How many years ago were the speakers at this place?,3,(A) Five,(B) Ten,(C) Fifteen,(D) Fifty
test11_19,test11_part3_1,"According to the woman, what is one of her favorite memories?",3,(A) The graduation ceremony,(B) Studying with friends,(C) Winning a prize,(D) Walking around the campus
test11_20,test11_part3_2,Who is the woman?,3,(A) A restaurant manager,(B) A presentation participant,(C) A workshop organizer,(D) A cook
test11_21,test11_part3_2,"What does the woman mean when she says, “I have a weekly meeting soon”?",1,(A) She cannot talk with the man for long.,(B) She will discuss the problem soon.,(C) She will invite the man to a weekly meeting.,(D) She will participate in the workshop next Friday.
