question_id,group_question_id,question_text,correct_answer,ans_1,ans_2,ans_3,ans_4
test15_1,test15_part1_1,Look at the picture marked number 1 in your test book,4,(A) A,(B) B,(C) C,(D) D
test15_2,test15_part1_2,Look at the picture marked number 2 in your test book,1,(A) A,(B) B,(C) C,(D) D
test15_3,test15_part1_3,Look at the picture marked number 3 in your test book,2,(A) A,(B) B,(C) C,(D) D
test15_4,test15_part2_1,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test15_5,test15_part2_2,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test15_6,test15_part2_3,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test15_7,test15_part2_4,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test15_8,test15_part2_5,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test15_9,test15_part2_6,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test15_10,test15_part2_7,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test15_11,test15_part2_8,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test15_12,test15_part2_9,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test15_13,test15_part2_10,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test15_14,test15_part2_11,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test15_15,test15_part2_12,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test15_16,test15_part2_13,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test15_17,test15_part3_1,How do the speakers know each other?,1,(A) They graduated from the same university.,(B) They are business colleagues.,(C) They are currently on the same chess team.,(D) They are professors at a college.
test15_18,test15_part3_1,How many years ago were the speakers at this place?,3,(A) Five,(B) Ten,(C) Fifteen,(D) Fifty
test15_19,test15_part3_1,"According to the woman, what is one of her favorite memories?",3,(A) The graduation ceremony,(B) Studying with friends,(C) Winning a prize,(D) Walking around the campus
test15_20,test15_part3_2,Who is the woman?,3,(A) A restaurant manager,(B) A presentation participant,(C) A workshop organizer,(D) A cook
test15_21,test15_part3_2,"What does the woman mean when she says, “I have a weekly meeting soon”?",1,(A) She cannot talk with the man for long.,(B) She will discuss the problem soon.,(C) She will invite the man to a weekly meeting.,(D) She will participate in the workshop next Friday.
test15_22,test15_part3_2,What does Kimmy additionally want?,2,(A) A cheaper price,(B) Additional food items,(C) Some alcohol,(D) Dinner menus
test15_23,test15_part3_3,What is the conversation about?,2,(A) Advertising a website,(B) Making schedules,(C) Improving interview skills,(D) Organizing a conference
test15_24,test15_part3_3,What will happen on Thursday?,1,(A) Job interviews will take place.,(B) They will attend a conference.,(C) A website will be renewed.,(D) They will leave on a business trip.
test15_25,test15_part3_3,What are clients complaining about?,1,(A) A website,(B) A building’s design,(C) A schedule for job interview,(D) A conference date
test15_26,test15_part3_4,What did Harriet see last week?,1,(A) Technicians in the building next door,(B) Technicians posting about lift repairs,(C) Some technicians installing lighting,(D) Her boss having a meeting with some technicians
test15_27,test15_part3_4,Look at the graphic. Which is the busiest wing in the hospital?,3,(A) West,(B) East,(C) North,(D) South
test15_28,test15_part3_4,What does the man suggest the woman do?,2,(A) Cancel the repairs immediately,(B) Talk to Dr. Franklin,(C) Ask Dr. Franklin to lunch,(D) Close the north wing
test15_29,test15_part3_5,What does the woman say to the man?,4,(A) She wants to place an order.,(B) She needs to borrow a box.,(C) She has a new telephone number.,(D) She received some clothes.
test15_30,test15_part3_5,What is the man preparing for?,4,(A) A job interview,(B) A business trip,(C) A vacation,(D) A presentation
test15_31,test15_part3_5,Look at the graphic. What did the man forget to do?,1,(A) Include his name,(B) Write zip code,(C) Write his department,(D) Order some clothes
test15_32,test15_part3_6,Where does this conversation take place?,3,(A) In a restaurant,(B) In a hospital,(C) In a grocery store,(D) In a fitness center
test15_33,test15_part3_6,Look at the graphic. Which of the ingredients does the woman express concern about?,3,(A) Fat,(B) Sugar,(C) Sodium,(D) Protein
test15_34,test15_part3_6,What does the woman suggest the man do?,4,(A) Try another soup and salad,(B) Speak with a doctor,(C) Become a strict vegetarian,(D) Purchase a different item
test15_35,test15_part4_1,What is the announcement about?,2,(A) An opinion survey,(B) An upcoming election,(C) An election outcome,(D) A website update
test15_36,test15_part4_1,What can listeners do on the website?,3,(A) Register as a candidate,(B) Cast their vote,C) Find some information,(D) Enter a contest
test15_37,test15_part4_1,What are listeners encouraged to do?,1,(A) Participate in an official occasion,(B) Reserve a ticket in advance,(C) Exercise on a daily basis,(D) Listen to an upcoming announcement
test15_38,test15_part4_2,What caused a performance delay?,2,(A)A loss of power,(B)Some late arrivals,(C)Malfunctioning equipment,(D)A scheduling error
test15_39,test15_part4_2,What can listeners do near the entrance?,4,(A)Get their programs autographed,(B)Enjoy light refreshments,(C)Take photos of performers,(D)Purchase musical recordings
test15_40,test15_part4_2,What can be found on the back of the program?,4,(A) Promotional coupons for events,(B) An explanation of an exchange policy,(C) A description of an upcoming show,(D) Information about becoming a member
test15_41,test15_part4_3,Who is the speaker talking about?,4,(A) A presenter,(B) A public official,(C) A researcher,(D) A donor
test15_42,test15_part4_3,How will the funding be used?,1,(A) To give assistance to needy youth,(B) To purchase modern technology,(C) To distribute critical information,(D) To advise new businesses
test15_43,test15_part4_3,What will occur on November 12?,2,(A) A donation will be given.,(B) A special dinner will be held.,(C) An achievement test will be taken.,(D) A grand opening will be organized.
test15_44,test15_part4_4,Who is the speaker leaving a message for?,2,(A)A customer service agent,(B)A store manager,(C)An appliance manufacturer,(D)A sales representative
test15_45,test15_part4_4,Why did the speaker make the call?,4,(A)She needs to have a device repaired.,(B)She hopes to exchange an appliance.,(C)She is complaining about a late delivery.,(D)She wants to praise a staff member.
test15_46,test15_part4_4,What does the speaker say she will do?,1,(A)Tell her friends about the business,(B)Purchase a matching washing machine,(C)Provide a favorable review,(D)Order some products for her company
