question_id,group_question_id,question_text,correct_answer,ans_1,ans_2,ans_3,ans_4
test5_1,test5_part1_1,Look at the picture marked number 1 in your test book,3,(A) A,(B) B,(C) C,(D) D
test5_2,test5_part1_2,Look at the picture marked number 2 in your test book,1,(A) A,(B) B,(C) C,(D) D
test5_3,test5_part1_3,Look at the picture marked number 3 in your test book,1,(A) A,(B) B,(C) C,(D) D
test5_4,test5_part1_4,Look at the picture marked number 4 in your test book,3,(A) A,(B) B,(C) C,(D) D
test5_5,test5_part1_5,Look at the picture marked number 5 in your test book,1,(A) A,(B) B,(C) C,(D) D
test5_6,test5_part1_6,Look at the picture marked number 6 in your test book,2,(A) A,(B) B,(C) C,(D) D
test5_7,test5_part2_1,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test5_8,test5_part2_2,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test5_9,test5_part2_3,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test5_10,test5_part2_4,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test5_11,test5_part2_5,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test5_12,test5_part2_6,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test5_13,test5_part2_7,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test5_14,test5_part2_8,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test5_15,test5_part2_9,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test5_16,test5_part2_10,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test5_17,test5_part2_11,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test5_18,test5_part2_12,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test5_19,test5_part2_13,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test5_20,test5_part2_14,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test5_21,test5_part2_15,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test5_22,test5_part2_16,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test5_23,test5_part2_17,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test5_24,test5_part2_18,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test5_25,test5_part2_19,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test5_26,test5_part2_20,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test5_27,test5_part2_21,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test5_28,test5_part2_22,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test5_29,test5_part2_23,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test5_30,test5_part2_24,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test5_31,test5_part2_25,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test5_32,test5_part3_1,Where most likely do the speakers work?,4,(A) At a software company,(B) At a marketing firm,(C) At a travel agency,(D) At a graphic design company
test5_33,test5_part3_1,What is the woman’s complaint about the training session?,3,(A) There were not enough seats.,(B) The registration fee was too high.,(C) There was no time for inquiries.,(D) The instructor’s presentation was lengthy.
test5_34,test5_part3_1,What does the man suggest?,4,(A) Attending another training session,(B) Transferring to a new department,(C) Reviewing a training manual,(D) Contacting the instructor
test5_35,test5_part3_2,What is the woman’s problem?,1,(A) A meeting room is occupied.,(B) A piece of equipment is out of stock.,(C) An appointment has been canceled.,(D) Some software is not installed.
test5_36,test5_part3_2,Why does the man mention a system malfunction?,2,(A) To apologize for an incorrect charge,(B) To explain a scheduling error,(C) To warn of security threats,(D) To change a company policy
test5_37,test5_part3_2,What does the man say he will do?,2,(A) Fix a computer,(B) Provide an alternative,(C) Attend a meeting,(D) Check the employee manual
test5_38,test5_part3_3,What is the problem?,3,(A) The man forgot to book his plane ticket.,(B) The flight is delayed.,(C) The flight is cancelled.,(D) The man lost his ticket.
test5_39,test5_part3_3,What solution does the woman propose?,1,(A) To book a bus for the man,(B) To pay for his hotel room,(C) To send him documents,(D) To call his client in Vancouver
test5_40,test5_part3_3,What does the man mean when he says “That’s not a bad idea”?,2,(A) He wants a better solution.,(B) He agrees with the proposed solution,(C) He would like to hear more options.,(D) He wants to keep the plane ticket.
test5_41,test5_part3_4,Where most likely does the man work?,4,(A) At a real estate agency,(B) At a bank,(C) At an art gallery,(D) At a landscaping agency
test5_42,test5_part3_4,How long does the man say the woman will have to wait?,3,(A) For a day,(B) For a week,(C) For a month,(D) For two months
test5_43,test5_part3_4,What information will the man send the woman?,3,(A) A job opening,(B) An itinerary,(C) A price quote,(D) A meeting agenda
test5_44,test5_part3_5,What does the woman ask the man about?,2,(A) How to write a report,(B) Whether a document is finished,(C) How to reserve a meeting room,(D) Whether a client has been contacted
test5_45,test5_part3_5,What does the man say he will do?,1,(A) Prioritize the woman’s request,(B) Extend a deadline,(C) Draft a budget,(D) Visit the woman’s office
test5_46,test5_part3_5,What does the woman need?,3,(A) A list of clients,(B) A sample product,(C) Meeting materials,(D) A revised itinerary
test5_47,test5_part3_6,What career is the woman interested in?,3,(A) College professor,(B) Web programmer,(C) Dental assistant,(D) Financial adviser
test5_48,test5_part3_6,What does the woman say she will do?,2,(A) Submit an application,(B) Inquire about a loan,(C) Consult a doctor,(D) Apply for a scholarship
test5_49,test5_part3_6,"According to the man, what advantage does the college offer?",1,(A) Convenient class times,(B) Small class sizes,(C) Advanced level courses,(D) Reduced tuition
test5_50,test5_part3_7,Why is the subway being closed on September 24th?,3,(A) To upgrade the audio system,(B) Because the drivers are striking.,(C) There is a safety issue.,(D) Problems with the air conditioner
test5_51,test5_part3_7,Look at the graphic. Which subway line do the speakers need to take?,3,(A) Line 6,(B) Line 1,(C) Line 2,(D) Line 4
test5_52,test5_part3_7,What does the man suggest doing?,4,(A) Taking the subway,(B) Using the taxi service,(C) Taking the bus,(D) Driving his car
test5_53,test5_part3_8,What does the man ask about?,1,(A) A lunch meeting location,(B) The schedule for the week,(C) The budget reports,(D) A client list
test5_54,test5_part3_8,What does the woman remind the man about?,1,(A) A dinner meeting,B) A restaurant reservation,(C) A presentation,(D) A client’s demands
test5_55,test5_part3_8,What does the woman offer to do?,3,(A) Meet with a colleague,(B) Talk to a client,(C) Call some co-workers,(D) Organize the reports
test5_56,test5_part3_9,What was the woman doing in New York?,3,(A) Taking a vacation,(B) Visiting family,(C) Looking for new staff,(D) Meeting clients
test5_57,test5_part3_9,What does the woman imply when she says “Are they real?”,2,(A) The flowers look really good.,(B) The flowers look fake.,(C) She is surprised to see them.,(D) She thinks they are real.
test5_58,test5_part3_9,What does the man offer to do?,3,(A) Give her a promotion,(B) Send her a gift card,(C) Have flowers delivered to her office,(D) Send her a gift card
test5_59,test5_part3_10,What is the topic of the conversation?,4,(A) A pay raise,(B) An upcoming deadline,(B) An upcoming deadline,(D) A new work procedure
test5_60,test5_part3_10,What does the woman ask about?,1,(A) Pay compensation,(B) Promotion opportunities,(C) Sick leave availability,(D) Official forms
test5_61,test5_part3_10,What will the man most likely do next?,3,(A) Send an e-mail,(B) Revise a budget,(C) Deliver a document,(D) Call a doctor
test5_62,test5_part3_11,Why is the man calling Jennifer?,3,(A) To ask about her vacation,(B) To transfer her to another department,(B) To transfer her to another department,(D) To talk to Mr. Woods
test5_63,test5_part3_11,What does Grace say about the bank?,2,(A) They were closed when she got there.,(B) They are having problems with their computers.,(C) She e-mailed the receipt.,(D) She couldn’t find the location.
test5_64,test5_part3_11,What does the man say he needs?,1,(A) The transfer receipt,(B) The bank check,(C) The company credit card,(D) The transfer system
test5_65,test5_part3_12,Why do they need to send the order today?,1,(A) Because the company is closing for Christmas.,(B) Because the company is closing for New Years.,(C) The company doesn’t have the item.,(D) They have delayed the order.
test5_66,test5_part3_12,Look at the graphic. What will the man NOT order for the woman?,4,(A) Wrapping paper,(B) A headset,(C) Business cards,(D) Carbon paper
test5_67,test5_part3_12,What does the woman ask the man to do?,1,(A) Send her the order form,(B) Send her a headset,(C) Revise the memo,(C) Revise the memo
