question_id,group_question_id,question_text,correct_answer,ans_1,ans_2,ans_3,ans_4
test17_1,test17_part1_1,Look at the picture marked number 1 in your test book,2,(A) A,(B) B,(C) C,(D) D
test17_2,test17_part1_2,Look at the picture marked number 2 in your test book,3,(A) A,(B) B,(C) C,(D) D
test17_3,test17_part1_3,Look at the picture marked number 3 in your test book,1,(A) A,(B) B,(C) C,(D) D
test17_4,test17_part2_1,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test17_5,test17_part2_2,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test17_6,test17_part2_3,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test17_7,test17_part2_4,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test17_8,test17_part2_5,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test17_9,test17_part2_6,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test17_10,test17_part2_7,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test17_11,test17_part2_8,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test17_12,test17_part2_9,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test17_13,test17_part2_10,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test17_14,test17_part2_11,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test17_15,test17_part2_12,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test17_16,test17_part2_13,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test17_17,test17_part3_1,How do the speakers know each other?,1,(A) They graduated from the same university.,(B) They are business colleagues.,(C) They are currently on the same chess team.,(D) They are professors at a college.
test17_18,test17_part3_1,How many years ago were the speakers at this place?,3,(A) Five,(B) Ten,(C) Fifteen,(D) Fifty
test17_19,test17_part3_1,"According to the woman, what is one of her favorite memories?",3,(A) The graduation ceremony,(B) Studying with friends,(C) Winning a prize,(D) Walking around the campus
test17_20,test17_part3_2,Who is the woman?,3,(A) A restaurant manager,(B) A presentation participant,(C) A workshop organizer,(D) A cook
test17_21,test17_part3_2,"What does the woman mean when she says, â€œI have a weekly meeting soonâ€?",1,(A) She cannot talk with the man for long.,(B) She will discuss the problem soon.,(C) She will invite the man to a weekly meeting.,(D) She will participate in the workshop next Friday.
test17_22,test17_part3_2,What does Kimmy additionally want?,2,(A) A cheaper price,(B) Additional food items,(C) Some alcohol,(D) Dinner menus
test17_23,test17_part3_3,What is the conversation about?,2,(A) Advertising a website,(B) Making schedules,(C) Improving interview skills,(D) Organizing a conference
test17_24,test17_part3_3,What will happen on Thursday?,1,(A) Job interviews will take place.,(B) They will attend a conference.,(C) A website will be renewed.,(D) They will leave on a business trip.
test17_25,test17_part3_3,What are clients complaining about?,1,(A) A website,(B) A buildingâ€™s design,(C) A schedule for job interview,(D) A conference date
test17_26,test17_part3_4,What did Harriet see last week?,1,(A) Technicians in the building next door,(B) Technicians posting about lift repairs,(C) Some technicians installing lighting,(D) Her boss having a meeting with some technicians
test17_27,test17_part3_4,Look at the graphic. Which is the busiest wing in the hospital?,3,(A) West,(B) East,(C) North,(D) South
test17_28,test17_part3_4,What does the man suggest the woman do?,2,(A) Cancel the repairs immediately,(B) Talk to Dr. Franklin,(C) Ask Dr. Franklin to lunch,(D) Close the north wing
test17_29,test17_part3_5,Where does the woman likely work?,1,(A) A camping store,(B) A hardware store,(C) A medical clinic,(D) A shipping company
test17_30,test17_part3_5,Look at the graphic. What is the man missing?,2,(A) Carry bag,(B) Portable gas stove,(C) Camping mats,(D) Sleeping bags
test17_31,test17_part3_5,What does the woman offer to do?,3,(A) Give him a full refund,(B) Give him a 15% discount voucher,(C) Give him a 15% refund,(D) Give him a free tent
test17_32,test17_part3_6,What does the man say he is planning on doing with his office?,2,(A) Renovate it,(B) Sell it,(C) Clean it,(D) Repaint it
test17_33,test17_part3_6,Look at the graphic. What is the carpet made of?,3,(A) Frieze,(B) Shag Pile,(C) Velvet,(D) Woven Carpet
test17_34,test17_part3_6,What does the man say he will do?,4,(A) Buy the carpet today,(B) Ask his wife about it,(C) Tell his manager,(D) Think about it and come back
test17_35,test17_part4_1,What is the announcement about?,2,(A) An opinion survey,(B) An upcoming election,(C) An election outcome,(D) A website update
test17_36,test17_part4_1,What can listeners do on the website?,3,(A) Register as a candidate,(B) Cast their vote,C) Find some information,(D) Enter a contest
test17_37,test17_part4_1,What are listeners encouraged to do?,1,(A) Participate in an official occasion,(B) Reserve a ticket in advance,(C) Exercise on a daily basis,(D) Listen to an upcoming announcement
test17_38,test17_part4_2,What is the outlet store celebrating?,1,(A) An anniversary,(B) A festival,(C) An opening,(D) A holiday
