question_id,group_question_id,question_text,correct_answer,ans_1,ans_2,ans_3,ans_4
test12_1,test12_part1_1,Look at the picture marked number 1 in your test book,1,(A) A,(B) B,(C) C,(D) D
test12_2,test12_part1_2,Look at the picture marked number 2 in your test book,3,(A) A,(B) B,(C) C,(D) D
test12_3,test12_part1_3,Look at the picture marked number 3 in your test book,2,(A) A,(B) B,(C) C,(D) D
test12_4,test12_part2_1,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test12_5,test12_part2_2,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test12_6,test12_part2_3,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test12_7,test12_part2_4,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test12_8,test12_part2_5,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test12_9,test12_part2_6,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test12_10,test12_part2_7,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test12_11,test12_part2_8,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test12_12,test12_part2_9,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test12_13,test12_part2_10,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test12_14,test12_part2_11,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test12_15,test12_part2_12,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test12_16,test12_part2_13,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test12_17,test12_part3_1,Who is Mr. Stevens?,2,(A)A customer service agent,(B)An online shopper,(C)A lighting specialist,(D)A corporate buyer
test12_18,test12_part3_1,What is the man asked to do?,1,(A)Give an invoice number,(B)Confirm credit card details,(C)Wait for a return phone call,(D)Explain a complicated process
test12_19,test12_part3_1,What will the man receive?,2,(A)A full refund,(B)A lighting control device,(C)An apology letter,(D)A new invoice
test12_20,test12_part3_2,Where does the man work?,4,(A)At a community center,(B)At a museum,(C)At a university,(D)At a library
test12_21,test12_part3_2,What does the woman want to do?,1,(A)Research modern poets,(B)Purchase a ticket,(C)Conduct some experiments,(D)Sign up for evening classes
test12_22,test12_part3_2,What does the man offer to do?,1,(A)Give a private tour,(B)Provide a discount,(C)Send her some materials,(D)Contact a tour guide
test12_23,test12_part3_3,Where is the conversation taking place?,2,(A)At a park,(B)At a fitness facility,(C)At an institute,(D)At a medical center
test12_24,test12_part3_3,What is the man preparing for?,3,(A)A football tryout,(B)A basketball tournament,(C)An upcoming marathon,(D)A tennis competition
test12_25,test12_part3_3,What does the woman offer the man?,1,(A)A class schedule,(B)A private session,(C)A free membership,(D)Some used equipment
test12_26,test12_part3_4,What problem is the man calling about?,4,(A)A customer account has been canceled.,(B)An appliance has not arrived.,(C)A machine is missing some parts.,(D)A device is out of order.
test12_27,test12_part3_4,What does the woman say she will do?,2,(A)Contact the manufacturer,(B)Send a professional,(C)Replace the faulty item,(D)Look online for a solution
test12_28,test12_part3_4,What does the woman recommend doing?,2,(A)Using different model,(B)Removing items from a machine,(C)Contacting a manufacturer’s helpline,(D)Attempting a home repair
test12_29,test12_part3_5,Why is the woman calling?,2,(A)To inquire about the menu selection,(B)To make a change to existing arrangements,(C)To file a complaint with the manager,(D)To request a favor from a friend
test12_30,test12_part3_5,Look at the graphic. What will the seating capacity of the woman’s table be?,4,(A)2,(B)4,(C) 6,(D) 10
test12_31,test12_part3_5,What will the woman most likely do next?,1,(A)Contact her friends,(B)Cancel a reservation,(C)Call another restaurant,(D)Cook dinner at home
test12_32,test12_part3_6,What type of event does the man want to attend?,3,(A)A band concert,(B)A comedy show,(C)A dance performance,(D)A stage play
test12_33,test12_part3_6,What does the man inquire about?,4,(A)The venue’s location,(B)The discount for groups,(C)The fees for booking,(D)The show’s duration
test12_34,test12_part3_6,Look at the graphic. How much will the man pay per ticket?,4,(A)$30,(B)$35,(C)$40,(D)$45
test12_35,test12_part4_1,What is this message about?,2,(A)A road construction,(B)A power outage,(C)A weather report,(D)A news program
test12_36,test12_part4_1,When will the work probably be completed?,2,(A)Tonight,(B)Tomorrow morning,(C)Tomorrow night,(D)Next week
test12_37,test12_part4_1,When will the announcements be updated?,3,(A)Every 10 minutes,(B)Every 30 minutes,(C)Every hour,(D)Every 2 hours
test12_38,test12_part4_2,What is the main purpose of the advertisement?,3,(A)To sell a store,(B)To change the sales plan,(C)To mention a special sale,(D)To launch a new item
test12_39,test12_part4_2,What kind of business is being advertised?,1,(A)A clothing store,(B)A cleaning appliance,(C)A food market,(D)A delivery service
test12_40,test12_part4_2,What information is provided for the listeners?,3,(A)A sales tax,(B)An e-mail address,(C)Business hours,(D)Store location
test12_41,test12_part4_3,What is the announcement mainly about?,1,(A)Resurfacing a parking lot,(B)Opening a new highway,(C)Renewal of a store,(D)Closure of a subway station
test12_42,test12_part4_3,How long will the project last?,3,(A)One day,(B)Two days,(C)Three days,(D)Five days
test12_43,test12_part4_3,What should the employees do?,3,(A)Come to work an hour early,(B)Park on Country Boulevard,(C)Use the alternate road,(D)Take only the public transportation
test12_44,test12_part4_4,Why is the woman calling?,1,(A)To arrange the interview time,(B)To request an application form,(C)To accept a job offer,(D)To advertise a new hospital plan
test12_45,test12_part4_4,What is the speaker’s occupation?,4,(A)An academic instructor,(B)A secretary,(C)A doctor,(D)A hiring director
test12_46,test12_part4_4,What does the woman ask the man to do?,4,(A)Fax some documents,(B)Schedule an installation date,(C)Order invitations,(D)Return a telephone call
test12_47,test12_part4_5,What is the purpose of this message?,1,(A)To request Mr. Warren’s approval of travel arrangements,(B)To inform Ms. Hunt’s supervisor of her travel plan,(C)To confirm flight reservations for Sunwing Airlines,(D)To request a hotel reservation for a trip to London
test12_48,test12_part4_5,What did Mr. Warren request?,4,(A)Reservations for a group tour,(B)Schedule in New Delhi,(C)A hotel reservation in London,(D)A daytime flight
test12_49,test12_part4_5,Look at the graphic. What flight will replace Sunwing Airlines Flight 75?,3,(A)Flight 342,(B)Flight 564,(C)Flight 893,(D)Flight 1163
test12_50,test12_part5_1,Please send ________ application and portfolio to the human resources department no later than July 31.,1,(A)your,(B)yourself,(C)you,(D)yours
test12_51,test12_part5_2,Consumers must carefully read the nutritional facts indicated_____the labels of food products they purchase.,4,(A)of,(B)as,(C)next,(D)on
test12_52,test12_part5_3,"Before Mr. Mosby became a supervisor, he was ______ a front desk receptionist at a hotel in Bali, Indonesia.",1,(A)formerly,(B)yet,(C)fairly,(D)anymore
test12_53,test12_part5_4,Don’t miss the chance to see the _____tricks of our dolphins and sea lions at the daily Aqua Buddies Show.,2,(A)amuses,(B)amusing,(C)amused,(D)amuse
test12_54,test12_part5_5,The local government provides tax exemptions to _____ small business owner in the city.,2,(A)most,(B)every,(C)several,(D)all
test12_55,test12_part5_6,Wealth Guide is a _____business newsletter provided for the clients and investors of ADG Insurance Corporation.,3,(A)determined,(B)perpetual,(C)complimentary,(D)variable
test12_56,test12_part5_7,All Deskman Shipping staff must always _____ phone-in orders of office supplies to clients without delay.,2,(A) respect,(B) deliver,(C) travel,(D) surpass
