question_id,group_question_id,question_text,correct_answer,ans_1,ans_2,ans_3,ans_4
test18_1,test18_part1_1,Look at the picture marked number 1 in your test book,3,(A) A,(B) B,(C) C,(D) D
test18_2,test18_part1_2,Look at the picture marked number 2 in your test book,4,(A) A,(B) B,(C) C,(D) D
test18_3,test18_part1_3,Look at the picture marked number 3 in your test book,1,(A) A,(B) B,(C) C,(D) D
test18_4,test18_part2_1,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test18_5,test18_part2_2,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test18_6,test18_part2_3,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test18_7,test18_part2_4,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test18_8,test18_part2_5,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test18_9,test18_part2_6,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test18_10,test18_part2_7,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test18_11,test18_part2_8,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test18_12,test18_part2_9,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test18_13,test18_part2_10,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test18_14,test18_part2_11,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test18_15,test18_part2_12,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test18_16,test18_part2_13,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test18_17,test18_part3_1,Why is the woman calling?,3,(A) To extend a rental period,(B) To confirm an appointment,(C) To offer a part-time job,(D) To accept a proposal
test18_18,test18_part3_1,What does the man ask the woman to do?,2,(A) Interpret for her supervisor,(B) Send an advance payment,(C) Submit an official request,(D) Provide a work space
test18_19,test18_part3_1,What will the woman inform the man about?,2,(A) A requirement,(B) A deadline,(C) A meeting time,(D) A company policy
test18_20,test18_part3_2,What did the woman make a copy of?,3,(A) A receipt,(B) A meeting schedule,(C) An expense report,(D) A prescription
test18_21,test18_part3_2,What does the man ask the woman to do?,2,(A) Sign a contract,(B) Write a message,(C) Contact a receptionist,(D) Go on a business trip to Tokyo
test18_22,test18_part3_2,What does the man plan to do?,1,(A) Visit his co-worker,(B) Submit a report,(C) Make a new reservation,(D) Work overtime
test18_23,test18_part3_3,What field do the speakers work in?,4,(A) Education,(B) Manufacturing,(C) Product development,(D) Interior design
test18_24,test18_part3_3,What does the man plan to do?,1,(A) Choose different furniture,(B) Share a building plan,(C) Change a color scheme,(D) Place an order for wallpaper
test18_25,test18_part3_3,"According to the woman, why will the speakers have to wait?",3,(A) A shipment has been delayed.,(B) A contract has not been signed yet.,(C) Authorization must first be obtained.,(D) Some equipment is out of order.
test18_26,test18_part3_4,What did Harriet see last week?,1,(A) Technicians in the building next door,(B) Technicians posting about lift repairs,(C) Some technicians installing lighting,(D) Her boss having a meeting with some technicians
test18_27,test18_part3_4,Look at the graphic. Which is the busiest wing in the hospital?,3,(A) West,(B) East,(C) North,(D) South
test18_28,test18_part3_4,What does the man suggest the woman do?,2,(A) Cancel the repairs immediately,(B) Talk to Dr. Franklin,(C) Ask Dr. Franklin to lunch,(D) Close the north wing
test18_29,test18_part3_5,Where does the woman likely work?,1,(A) A camping store,(B) A hardware store,(C) A medical clinic,(D) A shipping company
test18_30,test18_part3_5,Look at the graphic. What is the man missing?,2,(A) Carry bag,(B) Portable gas stove,(C) Camping mats,(D) Sleeping bags
test18_31,test18_part3_5,What does the woman offer to do?,3,(A) Give him a full refund,(B) Give him a 15% discount voucher,(C) Give him a 15% refund,(D) Give him a free tent
test18_32,test18_part3_6,What does the man say he is planning on doing with his office?,2,(A) Renovate it,(B) Sell it,(C) Clean it,(D) Repaint it
test18_33,test18_part3_6,Look at the graphic. What is the carpet made of?,3,(A) Frieze,(B) Shag Pile,(C) Velvet,(D) Woven Carpet
test18_34,test18_part3_6,What does the man say he will do?,4,(A) Buy the carpet today,(B) Ask his wife about it,(C) Tell his manager,(D) Think about it and come back
test18_35,test18_part4_1,What is the announcement about?,2,(A) An opinion survey,(B) An upcoming election,(C) An election outcome,(D) A website update
test18_36,test18_part4_1,What can listeners do on the website?,3,(A) Register as a candidate,(B) Cast their vote,C) Find some information,(D) Enter a contest
test18_37,test18_part4_1,What are listeners encouraged to do?,1,(A) Participate in an official occasion,(B) Reserve a ticket in advance,(C) Exercise on a daily basis,(D) Listen to an upcoming announcement
test18_38,test18_part4_2,What is the outlet store celebrating?,1,(A) An anniversary,(B) A festival,(C) An opening,(D) A holiday
test18_39,test18_part4_2,What must customers do to receive the promotional offer?,2,(A) Become a member,(B) Purchase a certain amount,(C) Recommend some brands,(D) Trade in a television
test18_40,test18_part4_2,When does the promotion end?,4,(A) At the beginning of next month,(B) At the end of the year,(C) On the second Sunday of the month,(D) At the end of the month
test18_41,test18_part4_3,Who most likely are the listeners?,3,(A) Environmentalists,(B) Instructors,(C) Factory workers,(D) Medical students
test18_42,test18_part4_3,What document has the speaker reviewed?,4,(A) An employee roster,(B) An annual budget,(C) A project overview,(D) An accident report
test18_43,test18_part4_3,What does the speaker suggest listeners do?,1,(A) Have a good rest,(B) Work a day shift,(C) Receive more training,(D) Read a handout
test18_44,test18_part4_4,What is the purpose of the trip to Moscow?,2,(A) To finalize a contract,(B) To visit a factory,(C) To give a product demonstration,(D) To renovate a building
test18_45,test18_part4_4,What is the reason for the delayed departure?,2,(A) A necessary document is not ready.,(B) Some construction is underway.,(C) A company has gone out of business.,(D) Building materials have not arrived yet.
test18_46,test18_part4_4,What does the speaker say she will send to the listener?,3,(A) A copy of her passport,(B) A plane ticket,(C) An itinerary,(D) A blueprint
test18_47,test18_part4_5,Look at the graphic. How much can a shopper purchase the Dreamtime Pillow for before Friday?,3,(A) £15.00,(B) £11.50,(C) £21.00,(D) £50.00
test18_48,test18_part4_5,What is indicated about Happy Days?,2,(A) They have a wide variety of toys.,(B) They are bringing in more merchandise.,(C) They specialize in low-end furniture.,(D) They are going out of business this Friday.
test18_49,test18_part4_5,What service does Happy Days offer?,1,(A) Personalized interior design advice,(B) Free shipping,(C) Home installation,(D) Wall-papering services
test18_50,test18_part5_1,There is a ______ difference between the business’s revenues during the peak season compared to the off-peak season.,3,(A) prosperous,(B) rural,(C) significant,(D) preparatory
test18_51,test18_part5_2,The manufacturing plant that was damaged in the typhoon should ______ its operations later this month.,2,(A) resumed,(B) be resuming,(C) had resumed,D) resuming
test18_52,test18_part5_3,The chairperson ______ by an anonymous vote involving all members.,4,(A) has been selecting,(B) had to select,(C) is selecting,(D) will be selected
test18_53,test18_part5_4,The occupancy rate at Starburst Hotel has ______ by 24% due to increased competition.,2,(A) relied,(B) fallen,(C) expired,(D) coincided
