question_id,group_question_id,question_text,correct_answer,ans_1,ans_2,ans_3,ans_4
test4_4,test4_part1_1,Look at the picture marked number 4 in your test book,1,(A) A,(B) B,(C) C,(D) D
test4_5,test4_part1_2,Look at the picture marked number 5 in your test book,4,(A) A,(B) B,(C) C,(D) D
test4_6,test4_part1_3,Look at the picture marked number 6 in your test book,4,(A) A,(B) B,(C) C,(D) D
test4_4,test4_part1_4,Look at the picture marked number 5 in your test book,3,(A) A,(B) B,(C) C,(D) D
test4_5,test4_part1_5,Look at the picture marked number 6 in your test book,2,(A) A,(B) B,(C) C,(D) D
test4_6,test4_part1_6,Look at the picture marked number 3 in your test book,1,(A) A,(B) B,(C) C,(D) D
test4_16,test4_part2_1,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test4_17,test4_part2_2,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test4_18,test4_part2_3,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test4_19,test4_part2_4,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test4_20,test4_part2_5,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test4_21,test4_part2_6,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test4_22,test4_part2_7,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test4_23,test4_part2_8,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test4_24,test4_part2_9,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test4_25,test4_part2_10,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test4_26,test4_part2_11,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test4_27,test4_part2_12,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test4_28,test4_part2_13,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test4_20,test4_part2_14,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test4_21,test4_part2_15,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test4_22,test4_part2_16,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test4_23,test4_part2_17,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test4_24,test4_part2_18,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test4_25,test4_part2_19,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test4_26,test4_part2_20,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test4_27,test4_part2_21,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test4_28,test4_part2_22,Please listen and choose the correct answer.,2,(A) A,(B) B,(C) C,
test4_29,test4_part2_23,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test4_30,test4_part2_24,Please listen and choose the correct answer.,1,(A) A,(B) B,(C) C,
test4_31,test4_part2_25,Please listen and choose the correct answer.,3,(A) A,(B) B,(C) C,
test4_44,test4_part3_1,Who most likely is the man?,2,(A) A photographer,(B) A talent agent,(C) A performer,(D) A receptionist
test4_45,test4_part3_1,Why is the man calling?,3,(A) To buy a ticket in advance,(B) To confirm a reservation,(C) To provide a reminder,(D) To inquire about an advertisement
test4_46,test4_part3_1,What does the woman offer to do?,4,(A) Restrict backstage access,(B) Take pictures of Mr. Jackson,(C) Show the man a list of guests,(D) Make an official announcement
test4_47,test4_part3_2,What is mentioned about the product?,2,(A) It is affordable.,(B) It is superior to competitorsâ€™.,(C) It is safe for children to use.,(D) It is simple to install.
test4_48,test4_part3_2,"According to the man, what will the advertisement help to do?",1,(A) Promote new products,(B) Increase stock value,(C) Encourage new innovations,(D) Reduce customer complaints
test4_49,test4_part3_2,What will the man do next?,4,(A) Create a website,(B) Buy a magazine,(C) Revise an article,(D) Contact an agency
test4_50,test4_part3_3,Why is the woman calling?,1,(A) She hasnâ€™t received her product.,(B) She was overcharged for the item.,(C) She wants a product exchanged.,(D) She wants to return a product.
test4_51,test4_part3_3,Why does Michael transfer the call?,3,(A) He is busy with another customer.,(B) She requests another representative.,(C) She called the wrong department.,(D) The manager is unavailable.
test4_52,test4_part3_3,What does Brian ask the woman for?,3,(A) The tracking number,(B) Her receipt,(C) Her full name,(D) The product name
test4_53,test4_part3_4,What are the speakers mainly discussing?,3,(A) Merging with another company,(B) Last monthâ€™s sales reports,(C) The womanâ€™s anniversary party,(D) When the band will arrive
test4_54,test4_part3_4,What does the man mean when he says â€œBut itâ€™s your fifth year anniversary partyâ€?,1,(A) He wants her to change her schedule.,(B) He thinks itâ€™s not important.,(C) He will tell the band not to come.,(D) He wants her to go to the meetings.
test4_55,test4_part3_4,What solution does the woman provide?,3,(A) She will cancel the band.,(B) She will cancel the dinner service.,(C) She will cancel her meetings.,(D) She will fire the man.
test4_56,test4_part3_5,Why is the man calling the woman?,2,(A) To check the sales figures,(B) To check if she received the flowers,(C) To check if she wanted to go to dinner,(D) To check if the documents were ready
test4_57,test4_part3_5,What does the woman say he should do?,3,(A) Take her to the hospital,(B) Pay her hospital bills,(C) Take her out for dinner,(D) Buy her more flowers
test4_58,test4_part3_5,Why does the man say â€œI thought you would like themâ€?,1,(A) To express disappointment,(B) To show appreciation,(C) To show respect,(D) To show he thinks itâ€™s funny
test4_47,test4_part3_6,What is mentioned about the product?,2,(A) It is affordable.,(B) It is superior to competitors’.,(C) It is safe for children to use.,(D) It is simple to install.
test4_48,test4_part3_6,"According to the man, what will the advertisement help to do?",1,(A) Promote new products,(B) Increase stock value,(C) Encourage new innovations,(D) Reduce customer complaints
test4_49,test4_part3_6,What will the man do next?,4,(A) Create a website,(B) Buy a magazine,(C) Revise an article,(D) Contact an agency
test4_50,test4_part3_7,Why is the woman calling?,1,(A) She hasn’t received her product.,(B) She was overcharged for the item.,(C) She wants a product exchanged.,(D) She wants to return a product.
test4_51,test4_part3_7,Why does Michael transfer the call?,3,(A) He is busy with another customer.,(B) She requests another representative.,(C) She called the wrong department.,(D) The manager is unavailable.
test4_52,test4_part3_7,What does Brian ask the woman for?,3,(A) The tracking number,(B) Her receipt,(C) Her full name,(D) The product name
test4_53,test4_part3_8,How do the speakers know each other?,1,(A) They graduated from the same university.,(B) They are business colleagues.,(C) They are currently on the same chess team.,(D) They are professors at a college.
test4_54,test4_part3_8,How many years ago were the speakers at this place?,3,(A) Five,(B) Ten,(C) Fifteen,(D) Fifty
test4_55,test4_part3_8,"According to the woman, what is one of her favorite memories?",3,(A) The graduation ceremony,(B) Studying with friends,(C) Winning a prize,(D) Walking around the campus
test4_56,test4_part3_9,Who is the woman?,3,(A) A restaurant manager,(B) A presentation participant,(C) A workshop organizer,(D) A cook
test4_57,test4_part3_9,"What does the woman mean when she says, â€œI have a weekly meeting soonâ€?",1,(A) She cannot talk with the man for long.,(B) She will discuss the problem soon.,(C) She will invite the man to a weekly meeting.,(D) She will participate in the workshop next Friday.
test4_58,test4_part3_9,What does Kimmy additionally want?,2,(A) A cheaper price,(B) Additional food items,(C) Some alcohol,(D) Dinner menus
test4_59,test4_part3_10,What is the conversation about?,2,(A) Advertising a website,(B) Making schedules,(C) Improving interview skills,(D) Organizing a conference
test4_60,test4_part3_10,What will happen on Thursday?,1,(A) Job interviews will take place.,(B) They will attend a conference.,(C) A website will be renewed.,(D) They will leave on a business trip.
test4_61,test4_part3_10,What are clients complaining about?,1,(A) A website,(B) A buildingâ€™s design,(C) A schedule for job interview,(D) A conference date
test4_62,test4_part3_11,What did Harriet see last week?,1,(A) Technicians in the building next door,(B) Technicians posting about lift repairs,(C) Some technicians installing lighting,(D) Her boss having a meeting with some technicians
test4_63,test4_part3_11,Look at the graphic. Which is the busiest wing in the hospital?,3,(A) West,(B) East,(C) North,(D) South
test4_64,test4_part3_11,What does the man suggest the woman do?,2,(A) Cancel the repairs immediately,(B) Talk to Dr. Franklin,(C) Ask Dr. Franklin to lunch,(D) Close the north wing
test4_65,test4_part3_12,Where does the woman likely work?,1,(A) A camping store,(B) A hardware store,(C) A medical clinic,(D) A shipping company
test4_66,test4_part3_12,Look at the graphic. What is the man missing?,2,(A) Carry bag,(B) Portable gas stove,(C) Camping mats,(D) Sleeping bags
test4_67,test4_part3_12,What does the woman offer to do?,3,(A) Give him a full refund,(B) Give him a 15% discount voucher,(C) Give him a 15% refund,(D) Give him a free tent
test4_68,test4_part3_13,What does the man say he is planning on doing with his office?,2,(A) Renovate it,(B) Sell it,(C) Clean it,(D) Repaint it
test4_69,test4_part3_13,Look at the graphic. What is the carpet made of?,3,(A) Frieze,(B) Shag Pile,(C) Velvet,(D) Woven Carpet
test4_70,test4_part3_13,What does the man say he will do?,4,(A) Buy the carpet today,(B) Ask his wife about it,(C) Tell his manager,(D) Think about it and come back
test4_83,test4_part4_1,What is the purpose of the speech?,3,(A) To announce a discovery,(B) To announce a retirement,(C) To accept a promotion,(D) To accept an award
test4_84,test4_part4_1,Why does the speaker say: â€œI could not have done this without highly-skilled crewâ€,1,(A) She wants to thank her team.,(B) She hasnâ€™t worked in a team before.,(C) She dislikes her coworkers.,(D) She wants to accept the award.
test4_85,test4_part4_1,Where most likely does the speaker work?,3,(A) A bank,(B) A hospital,(C) A restaurant,(D) A warehouse
test4_86,test4_part4_2,Why is the woman calling?,1,(A) To express her gratitude,(B) To discuss a recipe,(C) To report some news,(D) To tell her about something
test4_87,test4_part4_2,"What does the woman imply when she says, â€œYou have to show me the recipe!â€?",3,(A) She didnâ€™t enjoy it.,(B) She wants to recommend a different ingredient.,(C) She wants to cook the dish herself.,(D) She wants her friend to try it.
test4_88,test4_part4_2,Why is the woman looking forward to next week?,4,(A) She is going to the movies.,(B) She is taking her son to school.,(C) Some new project will be complete.,(D) They will work together again.
test4_89,test4_part4_3,Who most likely is the speaker?,3,(A) A salesman,(B) A dentist,(C) A news reporter,(D) A gardener
test4_90,test4_part4_3,What is Bernburg Studios looking for?,2,(A) An actress,(B) A filming location,(C) A new script,(D) More ideas for movies
test4_91,test4_part4_3,"What does the speaker imply when she says, â€œAfter all, this is Robert Holloway we are talking aboutâ€?",1,(A) Robert Holloway is very famous.,(B) Robert Holloway owns the house.,(C) She will interview him next.,(D) She doesnâ€™t know who Robert Holloway is.
test4_80,test4_part4_4,What is the purpose of the trip to Moscow?,2,(A) To finalize a contract,(B) To visit a factory,(C) To give a product demonstration,(D) To renovate a building
test4_81,test4_part4_4,What is the reason for the delayed departure?,2,(A) A necessary document is not ready.,(B) Some construction is underway.,(C) A company has gone out of business.,(D) Building materials have not arrived yet.
test4_82,test4_part4_4,What does the speaker say she will send to the listener?,3,(A) A copy of her passport,(B) A plane ticket,(C) An itinerary,(D) A blueprint
test4_83,test4_part4_5,What is the announcement about?,2,(A) An opinion survey,(B) An upcoming election,(C) An election outcome,(D) A website update
test4_84,test4_part4_5,What can listeners do on the website?,3,(A) Register as a candidate,(B) Cast their vote,C) Find some information,(D) Enter a contest
test4_85,test4_part4_5,What are listeners encouraged to do?,1,(A) Participate in an official occasion,(B) Reserve a ticket in advance,(C) Exercise on a daily basis,(D) Listen to an upcoming announcement
test4_86,test4_part4_6,What is the outlet store celebrating?,1,(A) An anniversary,(B) A festival,(C) An opening,(D) A holiday
test4_87,test4_part4_6,What must customers do to receive the promotional offer?,2,(A) Become a member,(B) Purchase a certain amount,(C) Recommend some brands,(D) Trade in a television
test4_88,test4_part4_6,When does the promotion end?,4,(A) At the beginning of next month,(B) At the end of the year,(C) On the second Sunday of the month,(D) At the end of the month
test4_89,test4_part4_7,Who most likely are the listeners?,3,(A) Environmentalists,(B) Instructors,(C) Factory workers,(D) Medical students
test4_90,test4_part4_7,What document has the speaker reviewed?,4,(A) An employee roster,(B) An annual budget,(C) A project overview,(D) An accident report
test4_91,test4_part4_7,What does the speaker suggest listeners do?,1,(A) Have a good rest,(B) Work a day shift,(C) Receive more training,(D) Read a handout
test4_92,test4_part4_8,Look at the graphic. How much can a shopper purchase the Dreamtime Pillow for before Friday?,3,(A) £15.00,(B) £11.50,(C) £21.00,(D) £50.00
test4_93,test4_part4_8,What is indicated about Happy Days?,2,(A) They have a wide variety of toys.,(B) They are bringing in more merchandise.,(C) They specialize in low-end furniture.,(D) They are going out of business this Friday.
test4_94,test4_part4_8,What service does Happy Days offer?,1,(A) Personalized interior design advice,(B) Free shipping,(C) Home installation,(D) Wall-papering services
test4_95,test4_part4_9,Look at the graphic. How many case binders and legal pads were not delivered in total?,3,(A) 40,(B) 30,(C) 20,(D) 10
test4_96,test4_part4_9,"According to the speaker, why are the case binders important?",2,(A) To look professional in the office,(B) To look professional in the court,(C) To organize their financial record,(D) To maintain the deadline
test4_97,test4_part4_9,Where does Trent Herrington most likely work?,2,(A) Accounting firm,(B) Law firm,(C) Patenting firm,(D) Catering business
test4_98,test4_part4_10,Where will the cruise spend most of its time?,3,(A) Eagle Island,(B) Port Lewis,(C) Billing’s Bay,(D) Socializing
test4_99,test4_part4_10,Who is Star master Jenkins?,1,(A) Constellation guide,(B) Captain,(C) Bartender,(D) Host
test4_100,test4_part4_10,Look at the graphic. How long will the cruise be stopped at Port Lewis?,4,(A) Midnight,(B) 11:00 PM,(C) 2 hours,(D) 1 hour
test4_101,test4_part5_1,The new innovative diesel engine works____ than the other competitive engines of other companies.,4,(A)quiet,(B)quietly,(C)more quiet,(D)more quietly
test4_102,test4_part5_2,The proposed service center would provide additional services _______ Kovac Industry customers in the region.,2,(A)up,(B)to,(C)of,(D)out
test4_103,test4_part5_3,The Gift Boy company has a system to automatically send____ of every online order by e-mail.,4,(A)confirms,(B)confirmed,(C)confirming,(D)confirmation
