part_id,group_question_id,url_image1,url_image2,url_image3,url_image4,url_image5,url_audio,test_id
1,test18_part1_1,https://estudyme.hoc102.com/dev/2022/08/03/4874326.png,,,,,https://storage.googleapis.com/estudyme/dev/2022/08/03/47819957.mp3,18
1,test18_part1_2,https://estudyme.hoc102.com/dev/2022/08/03/17880627.png,,,,,https://storage.googleapis.com/estudyme/dev/2022/08/03/11449414.mp3,18
1,test18_part1_3,https://estudyme.hoc102.com/dev/2022/08/03/35177415.png,,,,,https://storage.googleapis.com/estudyme/dev/2022/08/03/70972356.mp3,18
2,test18_part2_1,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test08_0201.mp3,18
2,test18_part2_2,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test08_0202.mp3,18
2,test18_part2_3,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test08_0203.mp3,18
2,test18_part2_4,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test08_0204.mp3,18
2,test18_part2_5,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test08_0205.mp3,18
2,test18_part2_6,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test08_0206.mp3,18
2,test18_part2_7,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test08_0207.mp3,18
2,test18_part2_8,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test08_0208.mp3,18
2,test18_part2_9,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test08_0209.mp3,18
2,test18_part2_10,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test08_0210.mp3,18
2,test18_part2_11,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test08_0211.mp3,18
2,test18_part2_12,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test08_0212.mp3,18
2,test18_part2_13,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test08_0213.mp3,18
3,test18_part3_1,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test06_0301.mp3,18
3,test18_part3_2,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test06_0302.mp3,18
3,test18_part3_3,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test06_0303.mp3,18
3,test18_part3_4,https://drive.google.com/uc?export=view&id=1PBspjDtN0DmY4FJ4Du5C_fUyRb-RDfEW,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test06_0311.mp3,18
3,test18_part3_5,https://estudyme.hoc102.com/legacy-data/kstoeic/images/3768637_1564544455406.png,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test06_0312.mp3,18
3,test18_part3_6,https://drive.google.com/uc?export=view&id=109chkKnB-Rx_1UjZYe_8bJMnPROb3mhN,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test06_0313.mp3,18
4,test18_part4_1,,,,,,https://storage.googleapis.com/estudyme/dev/2022/08/25/75178428.mp3,18
4,test18_part4_2,,,,,,https://storage.googleapis.com/estudyme/dev/2022/08/25/65859203.mp3,18
4,test18_part4_3,,,,,,https://storage.googleapis.com/estudyme/dev/2022/08/25/90297239.mp3,18
4,test18_part4_4,,,,,,https://storage.googleapis.com/estudyme/dev/2022/08/25/90124721.mp3,18
4,test18_part4_5,https://estudyme.hoc102.com/dev/2022/08/24/90699409.png,,,,,https://storage.googleapis.com/estudyme/dev/2022/08/25/55696843.mp3,18
5,test18_part5_1,,,,,,,18
