part_id,group_question_id,url_image1,url_image2,url_image3,url_image4,url_image5,url_audio,test_id,
1,test13_part1_1,https://estudyme.hoc102.com/legacy-data/kstoeic/images/5615959_1562640043684.png,,,,,https://storage.googleapis.com/estudyme/toeic/2024/10/09/64331172.mp3,13,
1,test13_part1_2,https://estudyme.hoc102.com/legacy-data/kstoeic/images/4335660_1562640038296.png,,,,,https://storage.googleapis.com/estudyme/toeic/2024/10/09/99767931.mp3,13,
1,test13_part1_3,https://estudyme.hoc102.com/dev/2022/08/03/29655892.png,,,,,https://storage.googleapis.com/estudyme/toeic/2024/10/09/22456349.mp3,13,
2,test13_part2_1,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test05_0207.mp3,13,
2,test13_part2_2,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test05_0212.mp3,13,
2,test13_part2_3,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test05_0224.mp3,13,
2,test13_part2_4,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test05_0201.mp3,13,
2,test13_part2_5,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test07_0205.mp3,13,
2,test13_part2_6,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test07_0206.mp3,13,
2,test13_part2_7,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test07_0207.mp3,13,
2,test13_part2_8,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test07_0208.mp3,13,
2,test13_part2_9,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test05_0218.mp3,13,
2,test13_part2_10,,,,,,https://storage.googleapis.com/estudyme/legacy-data/elearning-react/2021/10/19/4141572.mp3,13,
2,test13_part2_11,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test05_0225.mp3,13,
2,test13_part2_12,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test05_0223.mp3,13,
2,test13_part2_13,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test07_0213.mp3,13,
3,test13_part3_1,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test05_0306.mp3,13,
3,test13_part3_2,,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test05_0302.mp3,13,
3,test13_part3_3,,,,,,https://storage.googleapis.com/estudyme/dev/2022/06/27/59643915.mp3,13,
3,test13_part3_4,https://drive.google.com/file/d/1PBspjDtN0DmY4FJ4Du5C_fUyRb-RDfEW/view?usp=drive_link,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test06_0311.mp3,13,
3,test13_part3_5,https://drive.google.com/file/d/1B1KZLiVGsjeolC4fqYYxd-N0_zQ-oEtb/view?usp=drive_link,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test05_0312.mp3,13,
3,test13_part3_6,https://drive.google.com/file/d/109chkKnB-Rx_1UjZYe_8bJMnPROb3mhN/view?usp=drive_link,,,,,https://storage.googleapis.com/estudyme/legacy-data/kstoeic/sound/eco2018_Test06_0313.mp3,13,
